年份,月份,总销量
2024,2024-04,8
2024,2024-05,23
2024,2024-06,103
2024,2024-07,102
2024,2024-08,144
2024,2024-09,153
2024,2024-10,442
2024,2024-11,407
2024,2024-12,869
2025,2025-01,177
2025,2025-02,696
