年份,月份,总销量
2022,2022-09,98
2022,2022-10,433
2022,2022-11,463
2022,2022-12,775
2023,2023-01,227
2023,2023-02,776
2023,2023-03,1389
2023,2023-04,827
2023,2023-05,941
2023,2023-06,928
2023,2023-07,1193
2023,2023-08,1840
2023,2023-09,539
2023,2023-10,1722
2023,2023-11,1106
2023,2023-12,1775
2024,2024-01,249
2024,2024-02,1504
2024,2024-03,256
2024,2024-04,594
2024,2024-05,2064
2024,2024-06,4492
2024,2024-07,1423
2024,2024-08,188
2024,2024-09,243
2024,2024-10,652
2024,2024-11,273
2024,2024-12,66
2025,2025-01,320
2025,2025-02,540
