年份,月份,总销量
2022,2022-02,3
2022,2022-03,0
2023,2023-02,1
2023,2023-03,0
2023,2023-04,0
2023,2023-05,1
2023,2023-06,0
2023,2023-07,0
2023,2023-08,0
2023,2023-09,0
2023,2023-10,0
2023,2023-11,0
2023,2023-12,0
2024,2024-03,3
